CID	Name	Structure Path	Number of Atoms	Total Charge	HOMO-LUMO gap
991642	(4-chlorophenyl)-[4-[(2S)-3-[4-(2-fluorophenyl)piperazin-1-yl]-2-hydroxypropoxy]phenyl]methanone	/Users/marcelmueller/source/randommolecules/example/991642/991642_opt.xyz	59	0	1.836
1003339	4-[[1-(4-chlorophenyl)-4-methoxycarbonyl-5-methyl-2-oxopyrrol-3-ylidene]methyl]benzoic acid	/Users/marcelmueller/source/randommolecules/example/1003339/1003339_opt.xyz	44	0	1.934
1011358	(6S)-6-[2-[(2R)-butan-2-yl]oxyphenyl]-9,9-dimethyl-5-propanoyl-6,8,10,11-tetrahydrobenzo[b][1,4]benzodiazepin-7-one	/Users/marcelmueller/source/randommolecules/example/1011358/1011358_opt.xyz	67	0	2.725
1020441	(3E)-5-bromo-3-[(2-chloro-4-hydroxy-5-methoxyphenyl)methylidene]-1H-indol-2-one	/Users/marcelmueller/source/randommolecules/example/1020441/1020441_opt.xyz	33	0	2.213
1022358	(3R)-3-(cyclopentylamino)-1-[4-[(3R)-3-(cyclopentylamino)-2,5-dioxopyrrolidin-1-yl]phenyl]pyrrolidine-2,5-dione	/Users/marcelmueller/source/randommolecules/example/1022358/1022358_opt.xyz	62	0	2.764
1042782	7H-benzo[d][2]benzothiepine-5-thione	/Users/marcelmueller/source/randommolecules/example/1042782/1042782_opt.xyz	26	0	1.445
1053290	[2-(2,5-dimethylphenyl)-5-(4-nitrophenyl)pyrazol-3-yl]-[4-(2-methoxyphenyl)piperazin-1-yl]methanone	/Users/marcelmueller/source/randommolecules/example/1053290/1053290_opt.xyz	67	0	1.478
1055942	N-[4-(4-benzoylpiperazin-1-yl)phenyl]-4-(trifluoromethyl)benzamide	/Users/marcelmueller/source/randommolecules/example/1055942/1055942_opt.xyz	55	0	1.855
1061769	[5-tert-butyl-2-(3-methylphenyl)pyrazol-3-yl] 4-methoxybenzoate	/Users/marcelmueller/source/randommolecules/example/1061769/1061769_opt.xyz	51	0	2.834
1083059	N-[4-[2-(4-methylquinolin-2-yl)sulfanylacetyl]phenyl]acetamide	/Users/marcelmueller/source/randommolecules/example/1083059/1083059_opt.xyz	43	0	2.378
