Name	Structure Path	Number of Atoms	Total Charge
Ac_Ac1Br1C3F1H5N1O1S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1Br1C3F1H5N1O1S1/coord.xyz	14	-1.0
Ac_AcSeO	/Users/marcelmueller/source/acqm/Ac/Ac_AcSeO/coord.xyz	3	-2.0
Ac_AcInGeSeBrLi	/Users/marcelmueller/source/acqm/Ac/Ac_AcInGeSeBrLi/coord.xyz	6	-1.0
Ac_AcAlSLiKI	/Users/marcelmueller/source/acqm/Ac/Ac_AcAlSLiKI/coord.xyz	6	0.0
Ac_AcH2Li2	/Users/marcelmueller/source/acqm/Ac/Ac_AcH2Li2/coord.xyz	5	0.0
Ac_Ac1C7Cl1H20N1O1P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C7Cl1H20N1O1P1/coord.xyz	32	2.0
Ac_Ac1C13F1H12O5	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C13F1H12O5/coord.xyz	32	0.0
Ac_AcFBr	/Users/marcelmueller/source/acqm/Ac/Ac_AcFBr/coord.xyz	3	2.0
Ac_Ac1Br1C2F3H3N1O3P1S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1Br1C2F3H3N1O3P1S1/coord.xyz	16	0.0
Ac_Ac1C7H12I1O3	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C7H12I1O3/coord.xyz	24	0.0
Ac_Ac1C20H25N5O5P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C20H25N5O5P1/coord.xyz	57	2.0
Ac_Ac1C12H9N4O5	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C12H9N4O5/coord.xyz	31	0.0
Ac_Ac1C5F1H7N3O7	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C5F1H7N3O7/coord.xyz	24	0.0
Ac_Ac1C14Cl1F6H19N3O4P2	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C14Cl1F6H19N3O4P2/coord.xyz	50	0.0
Ac_AcSiCl	/Users/marcelmueller/source/acqm/Ac/Ac_AcSiCl/coord.xyz	3	3.0
Ac_AcAlGaBe	/Users/marcelmueller/source/acqm/Ac/Ac_AcAlGaBe/coord.xyz	4	1.0
Ac_Ac1C17H22N4O4P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C17H22N4O4P1/coord.xyz	49	0.0
