CID,Method,Charge,Atom number,Atom type
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,-0.7561251041232041,5,8
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,0.07939844015762942,6,13
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,-0.04636442386722128,7,36
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,0.859284223315893,8,56
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,-0.1069932261902008,1,1
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,0.5230064911237048,2,3
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,0.5184708114045233,3,4
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,-0.44386031102384893,4,9
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,-0.17615210416629423,5,17
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,-0.18266073440376096,6,17
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,0.6566140579204884,7,20
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,0.0014871171177919251,8,83
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,0.21008789821759533,9,83
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,-0.24005733103491367,1,1
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,-0.21174129339403724,2,1
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,-0.23877696305220053,3,1
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,-0.06365043273270377,4,2
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,-0.6335989011281706,5,9
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,-0.6764394318336399,6,9
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,-0.033246049369037356,7,10
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,-0.033219229325419763,8,10
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,0.5635639437733041,9,19
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,0.7846331420131762,10,38
mlm_H3He1F2Ne2K1Sr2_96b234,EEQ,0.7825325460836419,11,38
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,-0.21335142426269993,1,1
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,-0.04325843142840291,2,1
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,-0.21528531685863528,3,1
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,-0.20479831226145462,4,1
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,-0.0600376328076071,5,1
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,-0.6118062698436002,6,9
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,0.010676377175628304,7,10
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,0.6074669625375201,8,19
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,0.8120384608447314,9,38
mlm_H5F1Ne1K1Sr2_5dde59,EEQ,0.9183555869045215,10,38
mlm_C2H2P2Ru1Sb1_901c0c,EEQ,-0.1657782013576805,1,1
mlm_C2H2P2Ru1Sb1_901c0c,EEQ,0.010292928754983999,2,1
mlm_C2H2P2Ru1Sb1_901c0c,EEQ,-0.33893301602576753,3,6
mlm_C2H2P2Ru1Sb1_901c0c,EEQ,-0.3602035111946338,4,6
mlm_C2H2P2Ru1Sb1_901c0c,EEQ,-0.24936798353071887,5,15
mlm_C2H2P2Ru1Sb1_901c0c,EEQ,-0.16415070481384797,6,15
mlm_C2H2P2Ru1Sb1_901c0c,EEQ,0.4238510045790975,7,44
mlm_C2H2P2Ru1Sb1_901c0c,EEQ,-0.15571051641143308,8,51
mlm_C2H4Tc1In1_513733,EEQ,-0.034650586360009505,1,1
mlm_C2H4Tc1In1_513733,EEQ,-0.05783423044907021,2,1
mlm_C2H4Tc1In1_513733,EEQ,0.10859190533683705,3,1
mlm_C2H4Tc1In1_513733,EEQ,-0.05832349109482304,4,1
mlm_C2H4Tc1In1_513733,EEQ,-0.4387551459189518,5,6
mlm_C2H4Tc1In1_513733,EEQ,-0.43866119991633146,6,6
mlm_C2H4Tc1In1_513733,EEQ,0.6830542524720482,7,43
mlm_C2H4Tc1In1_513733,EEQ,0.23657849593030078,8,49
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,0.12177437405288405,1,1
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,0.0745162491560728,2,1
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,-0.016083590865817787,3,1
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,0.03379932938052721,4,1
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,-0.043790292691000765,5,1
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,-0.13371247654904206,6,5
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,-0.3001099325719758,7,5
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,-0.2644160715745889,8,8
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,-0.3988481822700499,9,8
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,0.00976140030821182,10,15
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,-0.2580923571497662,11,35
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,0.8825466019391954,12,55
mlm_H5O2B2P1Br1Cs1Pb1_a3c70d,EEQ,0.29265494883535126,13,82
mlm_H4N1B2As1Tc2_4165e3,EEQ,-0.046938227248727316,1,1
mlm_H4N1B2As1Tc2_4165e3,EEQ,-0.04282331326902178,2,1
mlm_H4N1B2As1Tc2_4165e3,EEQ,-0.03930793407286459,3,1
mlm_H4N1B2As1Tc2_4165e3,EEQ,-0.03288436489133584,4,1
mlm_H4N1B2As1Tc2_4165e3,EEQ,-0.1565766082376554,5,5
mlm_H4N1B2As1Tc2_4165e3,EEQ,-0.05809877245906314,6,5
mlm_H4N1B2As1Tc2_4165e3,EEQ,-0.32292611532232296,7,7
mlm_H4N1B2As1Tc2_4165e3,EEQ,-0.0891300480179027,8,33
mlm_H4N1B2As1Tc2_4165e3,EEQ,0.36957874142508784,9,43
mlm_H4N1B2As1Tc2_4165e3,EEQ,0.41910664209380555,10,43
mlm_C1H1O1Li1B1Mg1Ar1Rn1_e4bbfb,EEQ,0.1377029676189776,1,1
mlm_C1H1O1Li1B1Mg1Ar1Rn1_e4bbfb,EEQ,0.7589285980564311,2,3
mlm_C1H1O1Li1B1Mg1Ar1Rn1_e4bbfb,EEQ,-0.01991401521757119,3,5
mlm_C1H1O1Li1B1Mg1Ar1Rn1_e4bbfb,EEQ,-0.30666470367327137,4,6
mlm_C1H1O1Li1B1Mg1Ar1Rn1_e4bbfb,EEQ,-0.7872475263490966,5,8
mlm_C1H1O1Li1B1Mg1Ar1Rn1_e4bbfb,EEQ,0.9367122940289059,6,12
mlm_C1H1O1Li1B1Mg1Ar1Rn1_e4bbfb,EEQ,0.08387539937429223,7,18
mlm_C1H1O1Li1B1Mg1Ar1Rn1_e4bbfb,EEQ,0.1966069861613332,8,86
mlm_H2O3Si1Ar1Ba1_34e661,EEQ,0.19873585651463532,1,1
mlm_H2O3Si1Ar1Ba1_34e661,EEQ,0.39914437060203134,2,1
mlm_H2O3Si1Ar1Ba1_34e661,EEQ,-0.3272824171079929,3,8
mlm_H2O3Si1Ar1Ba1_34e661,EEQ,-0.3921824614336131,4,8
mlm_H2O3Si1Ar1Ba1_34e661,EEQ,-0.36107974736622817,5,8
mlm_H2O3Si1Ar1Ba1_34e661,EEQ,0.5277476198764468,6,14
mlm_H2O3Si1Ar1Ba1_34e661,EEQ,0.42561075309603325,7,18
mlm_H2O3Si1Ar1Ba1_34e661,EEQ,1.5293060258186884,8,56
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,0.14351022413406112,1,1
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,0.03243719506179077,2,1
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,0.49602276281462654,3,4
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,0.4666603651793455,4,4
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,0.01115707345900896,5,6
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,-0.24878296619049933,6,6
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,-0.3583545124110611,7,9
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,0.4424863170861417,8,30
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,-0.09875109210378286,9,35
mlm_C2H2Be2F1Zn1Br2_0ed3bd,EEQ,0.1136146329703704,10,35
mlm_H4F3Cu2Mo1_2b6c03,EEQ,-0.09637909397137334,1,1
mlm_H4F3Cu2Mo1_2b6c03,EEQ,-0.06959412125934628,2,1
mlm_H4F3Cu2Mo1_2b6c03,EEQ,-0.045253938280242156,3,1
mlm_H4F3Cu2Mo1_2b6c03,EEQ,-0.09581946824857424,4,1
mlm_H4F3Cu2Mo1_2b6c03,EEQ,-0.4477742518737877,5,9
mlm_H4F3Cu2Mo1_2b6c03,EEQ,-0.5345966498591534,6,9
mlm_H4F3Cu2Mo1_2b6c03,EEQ,-0.5316457915455999,7,9
mlm_H4F3Cu2Mo1_2b6c03,EEQ,-0.10881255949002411,8,29
mlm_H4F3Cu2Mo1_2b6c03,EEQ,0.0852661703448167,9,29
mlm_H4F3Cu2Mo1_2b6c03,EEQ,0.844609704183283,10,42
mlm_C2H4O1Rb2_e5a2b2,EEQ,-0.06634582897774544,1,1
mlm_C2H4O1Rb2_e5a2b2,EEQ,-0.19948094025003593,2,1
mlm_C2H4O1Rb2_e5a2b2,EEQ,-0.09069539993072828,3,1
mlm_C2H4O1Rb2_e5a2b2,EEQ,-0.19781133147912933,4,1
mlm_C2H4O1Rb2_e5a2b2,EEQ,-0.2210065658906022,5,6
mlm_C2H4O1Rb2_e5a2b2,EEQ,-0.21810145815646453,6,6
mlm_C2H4O1Rb2_e5a2b2,EEQ,-0.37434740759639223,7,8
mlm_C2H4O1Rb2_e5a2b2,EEQ,0.6633208365994016,8,37
mlm_C2H4O1Rb2_e5a2b2,EEQ,0.7044680956816962,9,37
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,-0.11196892493316302,1,1
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,-0.04615249488638584,2,1
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,0.10177955519890958,3,1
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,0.1138525445117553,4,1
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,-0.13264852715437758,5,6
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,-0.31810133212555436,6,7
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,-0.5087626383314452,7,7
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,-0.5175070459935154,8,16
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,1.067912071737705,9,38
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,0.9851411167711729,10,38
mlm_C1H4N2S1Sr2Bi1_93a752,EEQ,0.3664556752048964,11,83
mlm_H3N1O1Al1K1Rh1_659511,EEQ,0.019919873910591246,1,1
mlm_H3N1O1Al1K1Rh1_659511,EEQ,-0.08003862885200508,2,1
mlm_H3N1O1Al1K1Rh1_659511,EEQ,0.021198639015872822,3,1
mlm_H3N1O1Al1K1Rh1_659511,EEQ,-0.2606262176678893,4,7
mlm_H3N1O1Al1K1Rh1_659511,EEQ,-0.22250569385515306,5,8
mlm_H3N1O1Al1K1Rh1_659511,EEQ,0.2429011215020317,6,13
mlm_H3N1O1Al1K1Rh1_659511,EEQ,0.8179230477488779,7,19
mlm_H3N1O1Al1K1Rh1_659511,EEQ,0.4612278581976733,8,45
mlm_C2H1Li2Mg1Po2_f50e1b,EEQ,0.009392114247400052,1,1
mlm_C2H1Li2Mg1Po2_f50e1b,EEQ,0.6338388971172515,2,3
mlm_C2H1Li2Mg1Po2_f50e1b,EEQ,0.5666195583390001,3,3
mlm_C2H1Li2Mg1Po2_f50e1b,EEQ,-0.5123892712182565,4,6
mlm_C2H1Li2Mg1Po2_f50e1b,EEQ,-0.32250308611523726,5,6
mlm_C2H1Li2Mg1Po2_f50e1b,EEQ,0.6326023901112534,6,12
mlm_C2H1Li2Mg1Po2_f50e1b,EEQ,0.06060070047187893,7,84
mlm_C2H1Li2Mg1Po2_f50e1b,EEQ,-0.06816130295329148,8,84
mlm_H2F4K2Pb2_03040a,EEQ,0.0717411147653173,1,1
mlm_H2F4K2Pb2_03040a,EEQ,0.07196668501470804,2,1
mlm_H2F4K2Pb2_03040a,EEQ,-0.23253236224977303,3,9
mlm_H2F4K2Pb2_03040a,EEQ,-0.27577567792547675,4,9
mlm_H2F4K2Pb2_03040a,EEQ,-0.23173710933344194,5,9
mlm_H2F4K2Pb2_03040a,EEQ,-0.2746060555947474,6,9
mlm_H2F4K2Pb2_03040a,EEQ,0.8828272464441288,7,19
mlm_H2F4K2Pb2_03040a,EEQ,0.8270563763765619,8,19
mlm_H2F4K2Pb2_03040a,EEQ,0.5809789824921897,9,82
mlm_H2F4K2Pb2_03040a,EEQ,0.5800808000105333,10,82
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.02740232989471081,1,1
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.03236689109290658,2,1
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.32221761594785847,3,1
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.02716448148122963,4,1
mlm_H6N1O2B2Al2Br2Ru1_e1d1b2,EEQ,0.08951668547515035,5,1
